Name,Author,User_Rating,Reviews,Price,Year,Genre,Num_Pages,,,,,
Humans of New York,Brandon Stanton,4.8,3490,15,2013,Non Fiction,428,,,,,
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,17,2013,Non Fiction,371,,,,,
Inferno,Dan Brown,4.1,29651,14,2013,Fiction,463,,,,,
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2013,Non Fiction,384,,,,,
Joyland (Hard Case Crime),Stephen King,4.5,4748,12,2013,Fiction,283,,,,,
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12,2013,Non Fiction,293,,,,,
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2013,Non Fiction,130,,,,,
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2013,Non Fiction,129,,,,,
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13,2013,Non Fiction,217,,,,,
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2013,Fiction,44,,,,,
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2013,Non Fiction,196,,,,,
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2013,Non Fiction,272,,,,,
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,7,2013,Non Fiction,333,,,,,
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,7150,12,2013,Fiction,212,,,,,
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2272,6,2013,Non Fiction,288,,,,,
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,220,17,2013,Non Fiction,336,,,,,
StrengthsFinder 2.0,Gallup,4,5069,17,2013,Non Fiction,175,,,,,
Sycamore Row (Jake Brigance),John Grisham,4.5,23114,18,2013,Fiction,447,,,,,
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2013,Non Fiction,232,,,,,
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2013,Non Fiction,372,,,,,
The Book Thief,Markus Zusak,4.6,23148,6,2013,Fiction,552,,,,,
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2013,Fiction,30,,,,,
The Fault in Our Stars,John Green,4.7,50482,13,2013,Fiction,313,,,,,
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2013,Non Fiction,227,,,,,
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2013,Non Fiction,168,,,,,
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20,2013,Fiction,771,,,,,
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2013,Fiction,180,,,,,
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,6982,14,2013,Fiction,597,,,,,
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,5396,20,2013,Fiction,274,,,,,
The Official SAT Study Guide,The College Board,4.4,1201,40,2013,Non Fiction,1008,,,,,
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,2663,17,2013,Non Fiction,375,,,,,
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2013,Fiction,26,,,,,
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,7034,15,2013,Non Fiction,388,,,,,
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2013,Fiction,336,,,,,
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,6,2013,Non Fiction,292,,,,,
Wonder,R. J. Palacio,4.8,21625,9,2013,Fiction,315,,,,,
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,2014,Fiction,835,,,,,
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2014,Fiction,531,,,,,
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28,2014,Non Fiction,685,,,,,
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2014,Non Fiction,991,,,,,
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,2014,Fiction,224,,,,,
Divergent,Veronica Roth,4.6,27098,15,2014,Fiction,487,,,,,
Divergent / Insurgent,Veronica Roth,4.5,17684,6,2014,Fiction,525,,,,,
First 100 Words,Roger Priddy,4.7,17323,4,2014,Non Fiction,16,,,,,
Frozen (Little Golden Book),RH Disney,4.7,3642,0,2014,Fiction,24,,,,,
Gone Girl,Gillian Flynn,4,57271,9,2014,Fiction,415,,,,,
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,10,2014,Non Fiction,336,,,,,
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2014,Non Fiction,288,,,,,
Humans of New York,Brandon Stanton,4.8,3490,15,2014,Non Fiction,428,,,,,
If I Stay,Gayle Forman,4.3,7153,9,2014,Fiction,201,,,,,
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2014,Non Fiction,384,,,,,
JOURNEY TO THE ICE P,RH Disney,4.6,978,0,2014,Fiction,224,,,,,
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,6,2014,Non Fiction,304,,,,,
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2014,Non Fiction,130,,,,,
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2014,Non Fiction,129,,,,,
Little Blue Truck,Alice Schertle,4.9,1884,0,2014,Fiction,32,,,,,
Looking for Alaska,John Green,4.5,8491,7,2014,Fiction,221,,,,,
Love You Forever,Robert Munsch,4.8,18613,5,2014,Fiction,32,,,,,
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,2014,Non Fiction,272,,,,,
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2014,Non Fiction,276,,,,,
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2014,Fiction,44,,,,,
Orphan Train,Christina Baker Kline,4.6,21930,11,2014,Fiction,278,,,,,
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2014,Non Fiction,272,,,,,
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,3836,12,2014,Fiction,209,,,,,
StrengthsFinder 2.0,Gallup,4,5069,17,2014,Non Fiction,175,,,,,
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2014,Non Fiction,232,,,,,
The Alchemist,Paulo Coelho,4.7,35799,39,2014,Fiction,175,,,,,
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,6600,11,2014,Fiction,516,,,,,
The Book Thief,Markus Zusak,4.6,23148,6,2014,Fiction,552,,,,,
The Book with No Pictures,B. J. Novak,4.8,8081,8,2014,Fiction,48,,,,,
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,12,2014,Non Fiction,404,,,,,
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2014,Fiction,30,,,,,
The Fault in Our Stars,John Green,4.7,50482,7,2014,Fiction,313,,,,,
The Fault in Our Stars,John Green,4.7,50482,13,2014,Fiction,313,,,,,
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20,2014,Fiction,771,,,,,
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2014,Fiction,180,,,,,
The Maze Runner (Book 1),James Dashner,4.5,10101,8,2014,Fiction,384,,,,,
The Official SAT Study Guide,The College Board,4.4,1201,40,2014,Non Fiction,1008,,,,,
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2014,Fiction,26,,,,,
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2014,Non Fiction,240,,,,,
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2014,Fiction,336,,,,,
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.5,2586,5,2014,Fiction,16,,,,,
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,13,2014,Non Fiction,492,,,,,
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,16,2014,Non Fiction,492,,,,,
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.7,9292,17,2014,Non Fiction,303,,,,,
Wonder,R. J. Palacio,4.8,21625,9,2014,Fiction,315,,,,,
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6,2015,Non Fiction,85,,,,,
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6,2015,Non Fiction,96,,,,,
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,2426,8,2015,Non Fiction,98,,,,,
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2015,Fiction,531,,,,,
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9,2015,Non Fiction,528,,,,,
Baby Touch and Feel: Animals,DK,4.6,5360,5,2015,Non Fiction,14,,,,,
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11,2015,Non Fiction,104,,,,,
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15,2015,Non Fiction,282,,,,,
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2015,Non Fiction,152,,,,,
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4,2015,Non Fiction,64,,,,,
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5,2015,Non Fiction,64,,,,,
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2015,Fiction,18,,,,,
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5,2015,Non Fiction,128,,,,,
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,9,2015,Non Fiction,86,,,,,
First 100 Words,Roger Priddy,4.7,17323,4,2015,Non Fiction,16,,,,,
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2015,Fiction,32,,,,,
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19,2015,Fiction,278,,,,,
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14,2015,Fiction,576,,,,,
Harry Potter Coloring Book,Scholastic,4.7,3564,9,2015,Non Fiction,96,,,,,
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2015,Non Fiction,288,,,,,
Humans of New York : Stories,Brandon Stanton,4.9,2812,17,2015,Non Fiction,428,,,,,
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2015,Non Fiction,384,,,,,
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,5,2015,Non Fiction,290,,,,,
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2015,Non Fiction,130,,,,,
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2015,Non Fiction,129,,,,,
Love You Forever,Robert Munsch,4.8,18613,5,2015,Fiction,32,,,,,
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2015,Non Fiction,276,,,,,
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2015,Fiction,44,,,,,
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7,2015,Fiction,224,,,,,
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2015,Non Fiction,272,,,,,
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,9366,9,2015,Non Fiction,96,,,,,
StrengthsFinder 2.0,Gallup,4,5069,17,2015,Non Fiction,175,,,,,
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2015,Non Fiction,232,,,,,
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2015,Non Fiction,372,,,,,
The Book with No Pictures,B. J. Novak,4.8,8081,8,2015,Fiction,48,,,,,
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,12,2015,Non Fiction,404,,,,,
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2015,Fiction,30,,,,,
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2015,Non Fiction,168,,,,,
The Girl on the Train,Paula Hawkins,4.1,79446,18,2015,Fiction,336,,,,,
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11,2015,Non Fiction,213,,,,,
The Martian,Andy Weir,4.7,39459,9,2015,Fiction,384,,,,,
The Nightingale: A Novel,Kristin Hannah,4.8,49288,11,2015,Fiction,440,,,,,
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,4.8,3428,14,2015,Non Fiction,400,,,,,
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2015,Fiction,26,,,,,
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,7508,16,2015,Non Fiction,432,,,,,
The Wright Brothers,David McCullough,4.7,6169,16,2015,Non Fiction,320,,,,,
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2015,Non Fiction,240,,,,,
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2015,Fiction,336,,,,,
What Pet Should I Get? (Classic Seuss),Dr. Seuss,4.7,1873,14,2015,Fiction,48,,,,,
Wonder,R. J. Palacio,4.8,21625,9,2015,Fiction,315,,,,,
10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,2016,Non Fiction,192,,,,,
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2016,Fiction,337,,,,,
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2313,4,2016,Non Fiction,98,,,,,
Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Non Fiction,818,,,,,
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2016,Non Fiction,152,,,,,
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction,528,,,,,
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4,2016,Non Fiction,50,,,,,
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,2016,Non Fiction,240,,,,,
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2016,Fiction,18,,,,,
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20,2016,Fiction,217,,,,,
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Fiction,194,,,,,
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,2016,Fiction,280,,,,,
First 100 Words,Roger Priddy,4.7,17323,4,2016,Non Fiction,16,,,,,
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2016,Fiction,32,,,,,
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,2016,Non Fiction,285,,,,,
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30,2016,Fiction,400,,,,,
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4,23973,12,2016,Fiction,343,,,,,
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22,2016,Fiction,368,,,,,
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52,2016,Fiction,368,,,,,
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2016,Non Fiction,264,,,,,
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2016,Non Fiction,288,,,,,
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2016,Non Fiction,384,,,,,
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,6,2016,Non Fiction,323,,,,,
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2016,Non Fiction,129,,,,,
Milk and Honey,Rupi Kaur,4.7,17739,8,2016,Non Fiction,204,,,,,
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2016,Non Fiction,276,,,,,
Night (Night),Elie Wiesel,4.7,5178,9,2016,Non Fiction,115,,,,,
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2016,Fiction,44,,,,,
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,3503,9,2016,Fiction,432,,,,,
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2016,Non Fiction,272,,,,,
StrengthsFinder 2.0,Gallup,4,5069,17,2016,Non Fiction,175,,,,,
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2016,Non Fiction,232,,,,,
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2016,Non Fiction,372,,,,,
The Constitution of the United States,Delegates of the Constitutional,4.8,2774,0,2016,Non Fiction,52,,,,,
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2016,Non Fiction,168,,,,,
The Girl on the Train,Paula Hawkins,4.1,79446,7,2016,Fiction,336,,,,,
The Going-To-Bed Book,Sandra Boynton,4.8,5249,5,2016,Fiction,16,,,,,
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11,2016,Non Fiction,213,,,,,
The Magnolia Story,Chip Gaines,4.9,7861,5,2016,Non Fiction,208,,,,,
The Nightingale: A Novel,Kristin Hannah,4.8,49288,11,2016,Fiction,440,,,,,
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,4.3,807,36,2016,Non Fiction,1008,,,,,
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2016,Fiction,26,,,,,
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,7508,16,2016,Non Fiction,432,,,,,
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2016,Fiction,36,,,,,
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2016,Non Fiction,240,,,,,
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2016,Fiction,336,,,,,
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,4585,9,2016,Non Fiction,275,,,,,
When Breath Becomes Air,Paul Kalanithi,4.8,13779,14,2016,Non Fiction,208,,,,,
Wonder,R. J. Palacio,4.8,21625,9,2016,Fiction,315,,,,,
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2016,Non Fiction,256,,,,,
1984 (Signet Classics),George Orwell,4.7,21424,6,2017,Fiction,368,,,,,
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,2017,Fiction,462,,,,,
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2017,Fiction,337,,,,,
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,2017,Non Fiction,223,,,,,
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,Fiction,24,,,,,
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2017,Fiction,18,,,,,
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,2017,Fiction,256,,,,,
First 100 Words,Roger Priddy,4.7,17323,4,2017,Non Fiction,16,,,,,
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2017,Fiction,32,,,,,
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2017,Fiction,32,,,,,
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30,2017,Fiction,336,,,,,
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2017,Non Fiction,264,,,,,
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2017,Non Fiction,288,,,,,
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2017,Fiction,32,,,,,
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17,2017,Non Fiction,359,,,,,
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2017,Non Fiction,129,,,,,
Leonardo da Vinci,Walter Isaacson,4.5,3014,21,2017,Non Fiction,600,,,,,
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,11,2017,Non Fiction,130,,,,,
Milk and Honey,Rupi Kaur,4.7,17739,8,2017,Non Fiction,204,,,,,
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6,2017,Non Fiction,76,,,,,
Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,2017,Non Fiction,368,,,,,
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2017,Fiction,44,,,,,
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831,9,2017,Non Fiction,240,,,,,
Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,13,2017,Fiction,461,,,,,
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2017,Fiction,320,,,,,
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2017,Non Fiction,272,,,,,
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,4757,4,2017,Fiction,24,,,,,
Ready Player One: A Novel,Ernest Cline,4.6,22536,12,2017,Fiction,374,,,,,
StrengthsFinder 2.0,Gallup,4,5069,17,2017,Non Fiction,175,,,,,
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2017,Non Fiction,232,,,,,
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2017,Non Fiction,372,,,,,
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2017,Non Fiction,168,,,,,
The Getaway,Jeff Kinney,4.8,5836,0,2017,Fiction,224,,,,,
The Going-To-Bed Book,Sandra Boynton,4.8,5249,5,2017,Fiction,16,,,,,
The Handmaid's Tale,Margaret Atwood,4.3,29442,7,2017,Fiction,314,,,,,
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,7,2017,Non Fiction,176,,,,,
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11,2017,Non Fiction,213,,,,,
The Pout-Pout Fish,Deborah Diesen,4.8,9784,5,2017,Fiction,32,,,,,
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8,2017,Fiction,294,,,,,
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,15,2017,Non Fiction,212,,,,,
